fecha,id,tipo_elem,intensidad,ocupacion,carga,vmed,error,periodo_integracion,hora,dia_semana,is_weekend,is_rush_hour,is_holiday
2025-05-01 00:00:00,3488,M30,883,3,26,79.0,N,15,0,3,0,0,1
2025-05-01 00:15:00,3488,M30,968,2,23,80.0,N,15,0,3,0,0,1
2025-05-01 00:30:00,3488,M30,736,3,19,83.0,N,15,0,3,0,0,1
2025-05-01 00:45:00,3488,M30,848,2,20,79.0,N,15,0,3,0,0,1
2025-05-01 01:00:00,3488,M30,784,2,18,81.0,N,15,1,3,0,0,1
2025-05-01 01:15:00,3488,M30,625,1,15,84.0,N,15,1,3,0,0,1
2025-05-01 01:30:00,3488,M30,620,1,15,86.0,N,15,1,3,0,0,1
2025-05-01 01:45:00,3488,M30,564,1,12,87.0,N,15,1,3,0,0,1
2025-05-01 02:00:00,3488,M30,451,1,11,86.0,N,15,2,3,0,0,1
2025-05-01 02:15:00,3488,M30,416,1,10,89.0,N,15,2,3,0,0,1
2025-05-01 02:30:00,3488,M30,349,1,12,87.0,N,15,2,3,0,0,1
2025-05-01 02:45:00,3488,M30,280,0,11,91.0,N,15,2,3,0,0,1
2025-05-01 03:00:00,3488,M30,257,0,9,90.0,N,15,3,3,0,0,1
2025-05-01 03:15:00,3488,M30,288,1,6,76.0,N,15,3,3,0,0,1
2025-05-01 03:30:00,3488,M30,340,1,9,86.0,N,15,3,3,0,0,1
2025-05-01 03:45:00,3488,M30,380,0,9,85.0,N,15,3,3,0,0,1
2025-05-01 04:00:00,3488,M30,328,1,8,88.0,N,15,4,3,0,0,1
2025-05-01 04:15:00,3488,M30,336,1,7,89.0,N,15,4,3,0,0,1
2025-05-01 04:30:00,3488,M30,268,0,7,87.0,N,15,4,3,0,0,1
2025-05-01 04:45:00,3488,M30,284,0,7,87.0,N,15,4,3,0,0,1
2025-05-01 05:00:00,3488,M30,268,0,7,89.0,N,15,5,3,0,0,1
2025-05-01 05:15:00,3488,M30,268,0,7,89.0,N,15,5,3,0,0,1
2025-05-01 05:30:00,3488,M30,340,0,9,90.0,N,15,5,3,0,0,1
2025-05-01 05:45:00,3488,M30,476,2,12,88.0,N,15,5,3,0,0,1
2025-05-01 06:00:00,3488,M30,520,0,12,81.0,N,15,6,3,0,0,1
2025-05-01 06:15:00,3488,M30,588,1,12,88.0,N,15,6,3,0,0,1
2025-05-01 06:30:00,3488,M30,832,1,20,88.0,N,15,6,3,0,0,1
2025-05-01 06:45:00,3488,M30,864,1,20,85.0,N,15,6,3,0,0,1
2025-05-01 07:00:00,3488,M30,793,2,17,86.0,N,15,7,3,0,1,1
2025-05-01 07:15:00,3488,M30,944,2,22,85.0,N,15,7,3,0,1,1
2025-05-01 07:30:00,3488,M30,852,2,19,88.0,N,15,7,3,0,1,1
2025-05-01 07:45:00,3488,M30,880,2,21,86.0,N,15,7,3,0,1,1
2025-05-01 08:00:00,3488,M30,861,2,21,87.0,N,15,8,3,0,1,1
2025-05-01 08:15:00,3488,M30,1040,3,24,86.0,N,15,8,3,0,1,1
2025-05-01 08:30:00,3488,M30,1121,2,26,87.0,N,15,8,3,0,1,1
2025-05-01 08:45:00,3488,M30,996,2,23,86.0,N,15,8,3,0,1,1
2025-05-01 09:00:00,3488,M30,900,2,25,86.0,N,15,9,3,0,1,1
2025-05-01 09:15:00,3488,M30,992,3,25,87.0,N,15,9,3,0,1,1
2025-05-01 09:30:00,3488,M30,843,2,27,84.0,N,15,9,3,0,1,1
2025-05-01 09:45:00,3488,M30,876,3,26,85.0,N,15,9,3,0,1,1
2025-05-01 10:00:00,3488,M30,1084,3,24,85.0,N,15,10,3,0,0,1
2025-05-01 10:15:00,3488,M30,1135,2,26,85.0,N,15,10,3,0,0,1
2025-05-01 10:30:00,3488,M30,1316,3,31,84.0,N,15,10,3,0,0,1
2025-05-01 10:45:00,3488,M30,1215,2,29,83.0,N,15,10,3,0,0,1
2025-05-01 11:00:00,3488,M30,1368,3,32,83.0,N,15,11,3,0,0,1
2025-05-01 11:15:00,3488,M30,1323,3,31,84.0,N,15,11,3,0,0,1
2025-05-01 11:30:00,3488,M30,1444,4,33,85.0,N,15,11,3,0,0,1
2025-05-01 11:45:00,3488,M30,1528,4,36,84.0,N,15,11,3,0,0,1
2025-05-01 12:00:00,3488,M30,1557,4,36,84.0,N,15,12,3,0,0,1
2025-05-01 12:15:00,3488,M30,1403,3,33,86.0,N,15,12,3,0,0,1
2025-05-01 12:30:00,3488,M30,1617,4,38,82.0,N,15,12,3,0,0,1
2025-05-01 12:45:00,3488,M30,1400,3,32,84.0,N,15,12,3,0,0,1
2025-05-01 13:00:00,3488,M30,1536,4,37,85.0,N,15,13,3,0,0,1
2025-05-01 13:15:00,3488,M30,1477,2,35,85.0,N,15,13,3,0,0,1
2025-05-01 13:30:00,3488,M30,1537,3,37,83.0,N,15,13,3,0,0,1
2025-05-01 13:45:00,3488,M30,1380,3,32,85.0,N,15,13,3,0,0,1
2025-05-01 14:00:00,3488,M30,1572,3,35,87.0,N,15,14,3,0,1,1
2025-05-01 14:15:00,3488,M30,1345,3,31,84.0,N,15,14,3,0,1,1
2025-05-01 14:30:00,3488,M30,1368,3,32,86.0,N,15,14,3,0,1,1
2025-05-01 14:45:00,3488,M30,1285,3,30,83.0,N,15,14,3,0,1,1
2025-05-01 15:00:00,3488,M30,1325,3,31,87.0,N,15,15,3,0,1,1
2025-05-01 15:15:00,3488,M30,1200,2,27,88.0,N,15,15,3,0,1,1
2025-05-01 15:30:00,3488,M30,1168,2,28,87.0,N,15,15,3,0,1,1
2025-05-01 15:45:00,3488,M30,1064,2,25,85.0,N,15,15,3,0,1,1
2025-05-01 16:00:00,3488,M30,912,2,23,86.0,N,15,16,3,0,1,1
2025-05-01 16:15:00,3488,M30,740,3,24,87.0,N,15,16,3,0,1,1
2025-05-01 16:30:00,3488,M30,859,3,30,87.0,N,15,16,3,0,1,1
2025-05-01 16:45:00,3488,M30,852,3,30,85.0,N,15,16,3,0,1,1
2025-05-01 17:00:00,3488,M30,756,2,26,84.0,N,15,17,3,0,0,1
2025-05-01 17:15:00,3488,M30,897,5,40,86.0,N,15,17,3,0,0,1
2025-05-01 17:30:00,3488,M30,1296,3,33,84.0,N,15,17,3,0,0,1
2025-05-01 17:45:00,3488,M30,1180,3,27,85.0,N,15,17,3,0,0,1
2025-05-01 18:00:00,3488,M30,1380,3,32,85.0,N,15,18,3,0,1,1
2025-05-01 18:15:00,3488,M30,1232,7,29,84.0,N,15,18,3,0,1,1
2025-05-01 18:30:00,3488,M30,1213,4,29,86.0,N,15,18,3,0,1,1
2025-05-01 18:45:00,3488,M30,1241,4,30,85.0,N,15,18,3,0,1,1
2025-05-01 19:00:00,3488,M30,1316,4,31,84.0,N,15,19,3,0,1,1
2025-05-01 19:15:00,3488,M30,1292,5,31,84.0,N,15,19,3,0,1,1
2025-05-01 19:30:00,3488,M30,1284,5,31,83.0,N,15,19,3,0,1,1
2025-05-01 19:45:00,3488,M30,1060,3,30,84.0,N,15,19,3,0,1,1
2025-05-01 20:00:00,3488,M30,912,7,38,86.0,N,15,20,3,0,1,1
2025-05-01 20:15:00,3488,M30,849,6,53,86.0,N,15,20,3,0,1,1
2025-05-01 20:30:00,3488,M30,1360,5,35,85.0,N,15,20,3,0,1,1
2025-05-01 20:45:00,3488,M30,1260,5,30,84.0,N,15,20,3,0,1,1
2025-05-01 21:00:00,3488,M30,1233,4,31,85.0,N,15,21,3,0,0,1
2025-05-01 21:15:00,3488,M30,903,5,32,84.0,N,15,21,3,0,0,1
2025-05-01 21:30:00,3488,M30,824,5,29,83.0,N,15,21,3,0,0,1
2025-05-01 21:45:00,3488,M30,824,5,30,83.0,N,15,21,3,0,0,1
2025-05-01 22:00:00,3488,M30,789,6,28,82.0,N,15,22,3,0,0,1
2025-05-01 22:15:00,3488,M30,691,5,28,85.0,N,15,22,3,0,0,1
2025-05-01 22:30:00,3488,M30,973,4,27,85.0,N,15,22,3,0,0,1
2025-05-01 22:45:00,3488,M30,1064,3,27,85.0,N,15,22,3,0,0,1
2025-05-01 23:00:00,3488,M30,1016,4,23,85.0,N,15,23,3,0,0,1
2025-05-01 23:15:00,3488,M30,871,3,21,84.0,N,15,23,3,0,0,1
2025-05-01 23:30:00,3488,M30,1223,4,29,83.0,N,15,23,3,0,0,1
2025-05-01 23:45:00,3488,M30,1044,4,25,85.0,N,15,23,3,0,0,1
2025-05-02 00:00:00,3488,M30,953,3,23,85.0,N,15,0,4,0,0,1
2025-05-02 00:15:00,3488,M30,864,3,22,83.0,N,15,0,4,0,0,1
2025-05-02 00:30:00,3488,M30,939,2,23,86.0,N,15,0,4,0,0,1
2025-05-02 00:45:00,3488,M30,715,2,20,88.0,N,15,0,4,0,0,1
2025-05-02 01:00:00,3488,M30,677,3,18,88.0,N,15,1,4,0,0,1
2025-05-02 01:15:00,3488,M30,465,2,17,87.0,N,15,1,4,0,0,1
2025-05-02 01:30:00,3488,M30,396,3,18,90.0,N,15,1,4,0,0,1
2025-05-02 01:45:00,3488,M30,429,3,16,89.0,N,15,1,4,0,0,1
2025-05-02 02:00:00,3488,M30,396,2,15,89.0,N,15,2,4,0,0,1
2025-05-02 02:15:00,3488,M30,352,1,12,90.0,N,15,2,4,0,0,1
2025-05-02 02:30:00,3488,M30,295,2,12,89.0,N,15,2,4,0,0,1
2025-05-02 02:45:00,3488,M30,328,2,13,89.0,N,15,2,4,0,0,1
2025-05-02 03:00:00,3488,M30,280,2,12,88.0,N,15,3,4,0,0,1
2025-05-02 03:15:00,3488,M30,324,1,9,87.0,N,15,3,4,0,0,1
2025-05-02 03:30:00,3488,M30,296,1,8,85.0,N,15,3,4,0,0,1
2025-05-02 03:45:00,3488,M30,267,0,7,82.0,N,9,3,4,0,0,1
